,timestamps,node_ids,population
1412,147620.80000153245,0,biophysical
1427,149488.9000010975,0,biophysical
1439,151204.60000069806,0,biophysical
1442,151513.30000062616,0,biophysical
1443,151843.4000005493,0,biophysical
1444,151971.50000051947,0,biophysical
1450,152108.8000004875,0,biophysical
1458,152515.90000039272,0,biophysical
1460,153689.60000011945,0,biophysical
1464,154365.89999996198,0,biophysical
1470,155029.59999980745,0,biophysical
1501,159941.29999866386,0,biophysical
1515,160900.29999844058,0,biophysical
1521,161954.1999981952,0,biophysical
1528,162673.39999802774,0,biophysical
1534,163094.19999792974,0,biophysical
1535,163384.29999786222,0,biophysical
1540,164145.59999768494,0,biophysical
1541,164316.99999764506,0,biophysical
1566,166966.7999970281,0,biophysical
1577,168222.1999967358,0,biophysical
1585,168990.29999655698,0,biophysical
1591,169598.09999641546,0,biophysical
1610,172016.99999585227,0,biophysical
1611,172354.4999957737,0,biophysical
1644,174727.79999522108,0,biophysical
1645,175400.39999506448,0,biophysical
1650,176120.19999489692,0,biophysical
1661,176931.599994708,0,biophysical
1664,178172.19999441915,0,biophysical
1676,179644.1999940764,0,biophysical
1677,179689.99999406573,0,biophysical
1678,179721.39999405845,0,biophysical
1698,181498.59999364466,0,biophysical
1701,181697.59999359836,0,biophysical
1705,182261.1999934671,0,biophysical
1706,183416.0999931982,0,biophysical
1707,183707.6999931303,0,biophysical
1722,184870.29999285965,0,biophysical
1732,185386.89999273935,0,biophysical
1739,185670.19999267336,0,biophysical
1740,186308.19999252484,0,biophysical
1761,188047.7999921198,0,biophysical
1762,188419.99999203318,0,biophysical
1774,188698.8999919682,0,biophysical
1777,189048.2999918869,0,biophysical
1778,189350.3999918165,0,biophysical
1785,190840.4999914696,0,biophysical
1787,191707.19999126781,0,biophysical
1792,192309.79999112745,0,biophysical
1808,194310.59999066163,0,biophysical
1812,195385.7999904113,0,biophysical
1815,196150.39999023327,0,biophysical
1829,197669.0999898797,0,biophysical
1833,198331.19998972552,0,biophysical
1842,199623.49998942466,0,biophysical
1859,201257.09998904425,0,biophysical
1862,201625.39998895847,0,biophysical
1869,202895.69998866282,0,biophysical
1876,203546.69998851122,0,biophysical
1880,204183.5999883629,0,biophysical
1881,204370.99998831926,0,biophysical
1902,206971.09998771385,0,biophysical
1909,207246.2999876498,0,biophysical
1913,208225.19998742192,0,biophysical
1920,208619.29998733013,0,biophysical
1921,208821.49998728305,0,biophysical
1928,210015.39998700508,0,biophysical
1929,210364.4999869238,0,biophysical
1936,211744.99998660237,0,biophysical
1944,212327.2999864668,0,biophysical
1957,212741.39998637038,0,biophysical
1979,215610.3999857024,0,biophysical
1980,215750.99998566965,0,biophysical
1991,216513.5999854921,0,biophysical
2001,217225.59998532632,0,biophysical
2029,221220.3999843962,0,biophysical
2035,221857.7999842478,0,biophysical
2038,222165.59998417614,0,biophysical
2039,222226.6999841619,0,biophysical
2047,223956.59998375914,0,biophysical
2068,224680.69998359052,0,biophysical
2085,226197.79998323732,0,biophysical
2086,226273.9999832196,0,biophysical
2125,230597.29998221298,0,biophysical
2128,231162.09998208148,0,biophysical
2129,231285.49998205274,0,biophysical
