timestamps population node_ids
60420 'shock' 0
60425 'shock' 0
60430 'shock' 0
60435 'shock' 0
60440 'shock' 0
60445 'shock' 0
60450 'shock' 0
60455 'shock' 0
60460 'shock' 0
60465 'shock' 0
60470 'shock' 0
60475 'shock' 0
60480 'shock' 0
60485 'shock' 0
60490 'shock' 0
60495 'shock' 0
60500 'shock' 0
64400 'shock' 0
64405 'shock' 0
64410 'shock' 0
64415 'shock' 0
64420 'shock' 0
64425 'shock' 0
64430 'shock' 0
64435 'shock' 0
64440 'shock' 0
64445 'shock' 0
64450 'shock' 0
64455 'shock' 0
64460 'shock' 0
64465 'shock' 0
64470 'shock' 0
64475 'shock' 0
64480 'shock' 0
64485 'shock' 0
64490 'shock' 0
64495 'shock' 0
64500 'shock' 0
68400 'shock' 0
68405 'shock' 0
68410 'shock' 0
68415 'shock' 0
68420 'shock' 0
68425 'shock' 0
68430 'shock' 0
68435 'shock' 0
68440 'shock' 0
68445 'shock' 0
68450 'shock' 0
68455 'shock' 0
68460 'shock' 0
68465 'shock' 0
68470 'shock' 0
68475 'shock' 0
68480 'shock' 0
68485 'shock' 0
68490 'shock' 0
68495 'shock' 0
68500 'shock' 0
72400 'shock' 0
72405 'shock' 0
72410 'shock' 0
72415 'shock' 0
72420 'shock' 0
72425 'shock' 0
72430 'shock' 0
72435 'shock' 0
72440 'shock' 0
72445 'shock' 0
72450 'shock' 0
72455 'shock' 0
72460 'shock' 0
72465 'shock' 0
72470 'shock' 0
72475 'shock' 0
72480 'shock' 0
72485 'shock' 0
72490 'shock' 0
72495 'shock' 0
72500 'shock' 0
76400 'shock' 0
76405 'shock' 0
76410 'shock' 0
76415 'shock' 0
76420 'shock' 0
76425 'shock' 0
76430 'shock' 0
76435 'shock' 0
76440 'shock' 0
76445 'shock' 0
76450 'shock' 0
76455 'shock' 0
76460 'shock' 0
76465 'shock' 0
76470 'shock' 0
76475 'shock' 0
76480 'shock' 0
76485 'shock' 0
76490 'shock' 0
76495 'shock' 0
76500 'shock' 0
80400 'shock' 0
80405 'shock' 0
80410 'shock' 0
80415 'shock' 0
80420 'shock' 0
80425 'shock' 0
80430 'shock' 0
80435 'shock' 0
80440 'shock' 0
80445 'shock' 0
80450 'shock' 0
80455 'shock' 0
80460 'shock' 0
80465 'shock' 0
80470 'shock' 0
80475 'shock' 0
80480 'shock' 0
80485 'shock' 0
80490 'shock' 0
80495 'shock' 0
80500 'shock' 0
84400 'shock' 0
84405 'shock' 0
84410 'shock' 0
84415 'shock' 0
84420 'shock' 0
84425 'shock' 0
84430 'shock' 0
84435 'shock' 0
84440 'shock' 0
84445 'shock' 0
84450 'shock' 0
84455 'shock' 0
84460 'shock' 0
84465 'shock' 0
84470 'shock' 0
84475 'shock' 0
84480 'shock' 0
84485 'shock' 0
84490 'shock' 0
84495 'shock' 0
84500 'shock' 0
88400 'shock' 0
88405 'shock' 0
88410 'shock' 0
88415 'shock' 0
88420 'shock' 0
88425 'shock' 0
88430 'shock' 0
88435 'shock' 0
88440 'shock' 0
88445 'shock' 0
88450 'shock' 0
88455 'shock' 0
88460 'shock' 0
88465 'shock' 0
88470 'shock' 0
88475 'shock' 0
88480 'shock' 0
88485 'shock' 0
88490 'shock' 0
88495 'shock' 0
88500 'shock' 0
92400 'shock' 0
92405 'shock' 0
92410 'shock' 0
92415 'shock' 0
92420 'shock' 0
92425 'shock' 0
92430 'shock' 0
92435 'shock' 0
92440 'shock' 0
92445 'shock' 0
92450 'shock' 0
92455 'shock' 0
92460 'shock' 0
92465 'shock' 0
92470 'shock' 0
92475 'shock' 0
92480 'shock' 0
92485 'shock' 0
92490 'shock' 0
92495 'shock' 0
92500 'shock' 0
96400 'shock' 0
96405 'shock' 0
96410 'shock' 0
96415 'shock' 0
96420 'shock' 0
96425 'shock' 0
96430 'shock' 0
96435 'shock' 0
96440 'shock' 0
96445 'shock' 0
96450 'shock' 0
96455 'shock' 0
96460 'shock' 0
