timestamps population node_ids
12130 'tone' 0
12135 'tone' 0
12140 'tone' 0
12145 'tone' 0
12150 'tone' 0
12155 'tone' 0
12160 'tone' 0
12165 'tone' 0
12170 'tone' 0
12175 'tone' 0
12180 'tone' 0
12185 'tone' 0
12190 'tone' 0
12195 'tone' 0
12200 'tone' 0
12205 'tone' 0
12210 'tone' 0
12215 'tone' 0
12220 'tone' 0
12225 'tone' 0
12230 'tone' 0
12235 'tone' 0
12240 'tone' 0
12245 'tone' 0
12250 'tone' 0
12255 'tone' 0
12260 'tone' 0
12265 'tone' 0
12270 'tone' 0
12275 'tone' 0
12280 'tone' 0
12285 'tone' 0
12290 'tone' 0
12295 'tone' 0
12300 'tone' 0
12305 'tone' 0
12310 'tone' 0
12315 'tone' 0
12320 'tone' 0
12325 'tone' 0
12330 'tone' 0
12335 'tone' 0
12340 'tone' 0
12345 'tone' 0
12350 'tone' 0
12355 'tone' 0
12360 'tone' 0
12365 'tone' 0
12370 'tone' 0
12375 'tone' 0
12380 'tone' 0
12385 'tone' 0
12390 'tone' 0
12395 'tone' 0
12400 'tone' 0
12405 'tone' 0
12410 'tone' 0
12415 'tone' 0
12420 'tone' 0
12425 'tone' 0
12430 'tone' 0
12435 'tone' 0
12440 'tone' 0
12445 'tone' 0
12450 'tone' 0
12455 'tone' 0
12460 'tone' 0
12465 'tone' 0
12470 'tone' 0
12475 'tone' 0
12480 'tone' 0
12485 'tone' 0
12490 'tone' 0
12495 'tone' 0
12500 'tone' 0
16000 'tone' 0
16005 'tone' 0
16010 'tone' 0
16015 'tone' 0
16020 'tone' 0
16025 'tone' 0
16030 'tone' 0
16035 'tone' 0
16040 'tone' 0
16045 'tone' 0
16050 'tone' 0
16055 'tone' 0
16060 'tone' 0
16065 'tone' 0
16070 'tone' 0
16075 'tone' 0
16080 'tone' 0
16085 'tone' 0
16090 'tone' 0
16095 'tone' 0
16100 'tone' 0
16105 'tone' 0
16110 'tone' 0
16115 'tone' 0
16120 'tone' 0
16125 'tone' 0
16130 'tone' 0
16135 'tone' 0
16140 'tone' 0
16145 'tone' 0
16150 'tone' 0
16155 'tone' 0
16160 'tone' 0
16165 'tone' 0
16170 'tone' 0
16175 'tone' 0
16180 'tone' 0
16185 'tone' 0
16190 'tone' 0
16195 'tone' 0
16200 'tone' 0
16205 'tone' 0
16210 'tone' 0
16215 'tone' 0
16220 'tone' 0
16225 'tone' 0
16230 'tone' 0
16235 'tone' 0
16240 'tone' 0
16245 'tone' 0
16250 'tone' 0
16255 'tone' 0
16260 'tone' 0
16265 'tone' 0
16270 'tone' 0
16275 'tone' 0
16280 'tone' 0
16285 'tone' 0
16290 'tone' 0
16295 'tone' 0
16300 'tone' 0
16305 'tone' 0
16310 'tone' 0
16315 'tone' 0
16320 'tone' 0
16325 'tone' 0
16330 'tone' 0
16335 'tone' 0
16340 'tone' 0
16345 'tone' 0
16350 'tone' 0
16355 'tone' 0
16360 'tone' 0
16365 'tone' 0
16370 'tone' 0
16375 'tone' 0
16380 'tone' 0
16385 'tone' 0
16390 'tone' 0
16395 'tone' 0
16400 'tone' 0
16405 'tone' 0
16410 'tone' 0
16415 'tone' 0
16420 'tone' 0
16425 'tone' 0
16430 'tone' 0
16435 'tone' 0
16440 'tone' 0
16445 'tone' 0
16450 'tone' 0
16455 'tone' 0
16460 'tone' 0
16465 'tone' 0
16470 'tone' 0
16475 'tone' 0
16480 'tone' 0
16485 'tone' 0
16490 'tone' 0
16495 'tone' 0
16500 'tone' 0
20000 'tone' 0
20005 'tone' 0
20010 'tone' 0
20015 'tone' 0
20020 'tone' 0
20025 'tone' 0
20030 'tone' 0
20035 'tone' 0
20040 'tone' 0
20045 'tone' 0
20050 'tone' 0
20055 'tone' 0
20060 'tone' 0
20065 'tone' 0
20070 'tone' 0
20075 'tone' 0
20080 'tone' 0
20085 'tone' 0
20090 'tone' 0
20095 'tone' 0
20100 'tone' 0
20105 'tone' 0
20110 'tone' 0
20115 'tone' 0
20120 'tone' 0
20125 'tone' 0
20130 'tone' 0
20135 'tone' 0
20140 'tone' 0
20145 'tone' 0
20150 'tone' 0
20155 'tone' 0
20160 'tone' 0
20165 'tone' 0
20170 'tone' 0
20175 'tone' 0
20180 'tone' 0
20185 'tone' 0
20190 'tone' 0
20195 'tone' 0
20200 'tone' 0
20205 'tone' 0
20210 'tone' 0
20215 'tone' 0
20220 'tone' 0
20225 'tone' 0
20230 'tone' 0
20235 'tone' 0
20240 'tone' 0
20245 'tone' 0
20250 'tone' 0
20255 'tone' 0
20260 'tone' 0
20265 'tone' 0
20270 'tone' 0
20275 'tone' 0
20280 'tone' 0
20285 'tone' 0
20290 'tone' 0
20295 'tone' 0
20300 'tone' 0
20305 'tone' 0
20310 'tone' 0
20315 'tone' 0
20320 'tone' 0
20325 'tone' 0
20330 'tone' 0
20335 'tone' 0
20340 'tone' 0
20345 'tone' 0
20350 'tone' 0
20355 'tone' 0
20360 'tone' 0
20365 'tone' 0
20370 'tone' 0
20375 'tone' 0
20380 'tone' 0
20385 'tone' 0
20390 'tone' 0
20395 'tone' 0
20400 'tone' 0
20405 'tone' 0
20410 'tone' 0
20415 'tone' 0
20420 'tone' 0
20425 'tone' 0
20430 'tone' 0
20435 'tone' 0
20440 'tone' 0
20445 'tone' 0
20450 'tone' 0
20455 'tone' 0
20460 'tone' 0
20465 'tone' 0
20470 'tone' 0
20475 'tone' 0
20480 'tone' 0
20485 'tone' 0
20490 'tone' 0
20495 'tone' 0
20500 'tone' 0
24000 'tone' 0
24005 'tone' 0
24010 'tone' 0
24015 'tone' 0
24020 'tone' 0
24025 'tone' 0
24030 'tone' 0
24035 'tone' 0
24040 'tone' 0
24045 'tone' 0
24050 'tone' 0
24055 'tone' 0
24060 'tone' 0
24065 'tone' 0
24070 'tone' 0
24075 'tone' 0
24080 'tone' 0
24085 'tone' 0
24090 'tone' 0
24095 'tone' 0
24100 'tone' 0
24105 'tone' 0
24110 'tone' 0
24115 'tone' 0
24120 'tone' 0
24125 'tone' 0
24130 'tone' 0
24135 'tone' 0
24140 'tone' 0
24145 'tone' 0
24150 'tone' 0
24155 'tone' 0
24160 'tone' 0
24165 'tone' 0
24170 'tone' 0
24175 'tone' 0
24180 'tone' 0
24185 'tone' 0
24190 'tone' 0
24195 'tone' 0
24200 'tone' 0
24205 'tone' 0
24210 'tone' 0
24215 'tone' 0
24220 'tone' 0
24225 'tone' 0
24230 'tone' 0
24235 'tone' 0
24240 'tone' 0
24245 'tone' 0
24250 'tone' 0
24255 'tone' 0
24260 'tone' 0
24265 'tone' 0
24270 'tone' 0
24275 'tone' 0
24280 'tone' 0
24285 'tone' 0
24290 'tone' 0
24295 'tone' 0
24300 'tone' 0
24305 'tone' 0
24310 'tone' 0
24315 'tone' 0
24320 'tone' 0
24325 'tone' 0
24330 'tone' 0
24335 'tone' 0
24340 'tone' 0
24345 'tone' 0
24350 'tone' 0
24355 'tone' 0
24360 'tone' 0
24365 'tone' 0
24370 'tone' 0
24375 'tone' 0
24380 'tone' 0
24385 'tone' 0
24390 'tone' 0
24395 'tone' 0
24400 'tone' 0
24405 'tone' 0
24410 'tone' 0
24415 'tone' 0
24420 'tone' 0
24425 'tone' 0
24430 'tone' 0
24435 'tone' 0
24440 'tone' 0
24445 'tone' 0
24450 'tone' 0
24455 'tone' 0
24460 'tone' 0
24465 'tone' 0
24470 'tone' 0
24475 'tone' 0
24480 'tone' 0
24485 'tone' 0
24490 'tone' 0
24495 'tone' 0
24500 'tone' 0
28000 'tone' 0
28005 'tone' 0
28010 'tone' 0
28015 'tone' 0
28020 'tone' 0
28025 'tone' 0
28030 'tone' 0
28035 'tone' 0
28040 'tone' 0
28045 'tone' 0
28050 'tone' 0
28055 'tone' 0
28060 'tone' 0
28065 'tone' 0
28070 'tone' 0
28075 'tone' 0
28080 'tone' 0
28085 'tone' 0
28090 'tone' 0
28095 'tone' 0
28100 'tone' 0
28105 'tone' 0
28110 'tone' 0
28115 'tone' 0
28120 'tone' 0
28125 'tone' 0
28130 'tone' 0
28135 'tone' 0
28140 'tone' 0
28145 'tone' 0
28150 'tone' 0
28155 'tone' 0
28160 'tone' 0
28165 'tone' 0
28170 'tone' 0
28175 'tone' 0
28180 'tone' 0
28185 'tone' 0
28190 'tone' 0
28195 'tone' 0
28200 'tone' 0
28205 'tone' 0
28210 'tone' 0
28215 'tone' 0
28220 'tone' 0
28225 'tone' 0
28230 'tone' 0
28235 'tone' 0
28240 'tone' 0
28245 'tone' 0
28250 'tone' 0
28255 'tone' 0
28260 'tone' 0
28265 'tone' 0
28270 'tone' 0
28275 'tone' 0
28280 'tone' 0
28285 'tone' 0
28290 'tone' 0
28295 'tone' 0
28300 'tone' 0
28305 'tone' 0
28310 'tone' 0
28315 'tone' 0
28320 'tone' 0
28325 'tone' 0
28330 'tone' 0
28335 'tone' 0
28340 'tone' 0
28345 'tone' 0
28350 'tone' 0
28355 'tone' 0
28360 'tone' 0
28365 'tone' 0
28370 'tone' 0
28375 'tone' 0
28380 'tone' 0
28385 'tone' 0
28390 'tone' 0
28395 'tone' 0
28400 'tone' 0
28405 'tone' 0
28410 'tone' 0
28415 'tone' 0
28420 'tone' 0
28425 'tone' 0
28430 'tone' 0
28435 'tone' 0
28440 'tone' 0
28445 'tone' 0
28450 'tone' 0
28455 'tone' 0
28460 'tone' 0
28465 'tone' 0
28470 'tone' 0
28475 'tone' 0
28480 'tone' 0
28485 'tone' 0
28490 'tone' 0
28495 'tone' 0
28500 'tone' 0
32000 'tone' 0
32005 'tone' 0
32010 'tone' 0
32015 'tone' 0
32020 'tone' 0
32025 'tone' 0
32030 'tone' 0
32035 'tone' 0
32040 'tone' 0
32045 'tone' 0
32050 'tone' 0
32055 'tone' 0
32060 'tone' 0
32065 'tone' 0
32070 'tone' 0
32075 'tone' 0
32080 'tone' 0
32085 'tone' 0
32090 'tone' 0
32095 'tone' 0
32100 'tone' 0
32105 'tone' 0
32110 'tone' 0
32115 'tone' 0
32120 'tone' 0
32125 'tone' 0
32130 'tone' 0
32135 'tone' 0
32140 'tone' 0
32145 'tone' 0
32150 'tone' 0
32155 'tone' 0
32160 'tone' 0
32165 'tone' 0
32170 'tone' 0
32175 'tone' 0
32180 'tone' 0
32185 'tone' 0
32190 'tone' 0
32195 'tone' 0
32200 'tone' 0
32205 'tone' 0
32210 'tone' 0
32215 'tone' 0
32220 'tone' 0
32225 'tone' 0
32230 'tone' 0
32235 'tone' 0
32240 'tone' 0
32245 'tone' 0
32250 'tone' 0
32255 'tone' 0
32260 'tone' 0
32265 'tone' 0
32270 'tone' 0
32275 'tone' 0
32280 'tone' 0
32285 'tone' 0
32290 'tone' 0
32295 'tone' 0
32300 'tone' 0
32305 'tone' 0
32310 'tone' 0
32315 'tone' 0
32320 'tone' 0
32325 'tone' 0
32330 'tone' 0
32335 'tone' 0
32340 'tone' 0
32345 'tone' 0
32350 'tone' 0
32355 'tone' 0
32360 'tone' 0
32365 'tone' 0
32370 'tone' 0
32375 'tone' 0
32380 'tone' 0
32385 'tone' 0
32390 'tone' 0
32395 'tone' 0
32400 'tone' 0
32405 'tone' 0
32410 'tone' 0
32415 'tone' 0
32420 'tone' 0
32425 'tone' 0
32430 'tone' 0
32435 'tone' 0
32440 'tone' 0
32445 'tone' 0
32450 'tone' 0
32455 'tone' 0
32460 'tone' 0
32465 'tone' 0
32470 'tone' 0
32475 'tone' 0
32480 'tone' 0
32485 'tone' 0
32490 'tone' 0
32495 'tone' 0
32500 'tone' 0
36000 'tone' 0
36005 'tone' 0
36010 'tone' 0
36015 'tone' 0
36020 'tone' 0
36025 'tone' 0
36030 'tone' 0
36035 'tone' 0
36040 'tone' 0
36045 'tone' 0
36050 'tone' 0
36055 'tone' 0
36060 'tone' 0
36065 'tone' 0
36070 'tone' 0
36075 'tone' 0
36080 'tone' 0
36085 'tone' 0
36090 'tone' 0
36095 'tone' 0
36100 'tone' 0
36105 'tone' 0
36110 'tone' 0
36115 'tone' 0
36120 'tone' 0
36125 'tone' 0
36130 'tone' 0
36135 'tone' 0
36140 'tone' 0
36145 'tone' 0
36150 'tone' 0
36155 'tone' 0
36160 'tone' 0
36165 'tone' 0
36170 'tone' 0
36175 'tone' 0
36180 'tone' 0
36185 'tone' 0
36190 'tone' 0
36195 'tone' 0
36200 'tone' 0
36205 'tone' 0
36210 'tone' 0
36215 'tone' 0
36220 'tone' 0
36225 'tone' 0
36230 'tone' 0
36235 'tone' 0
36240 'tone' 0
36245 'tone' 0
36250 'tone' 0
36255 'tone' 0
36260 'tone' 0
36265 'tone' 0
36270 'tone' 0
36275 'tone' 0
36280 'tone' 0
36285 'tone' 0
36290 'tone' 0
