edge_type_id target_query source_query delay syn_weight model_template distance_range dynamics_params
102 "pop_name=='['PyrA', 'PyrC']'" * 0.1 1.0 tone2pyr "[-10000, 10000]" tone2PN.json
103 pop_name=='PV' * 0.1 1.0 tone2pyr "[-10000, 10000]" tone2INT.json
