edge_type_id target_query source_query delay model_template dynamics_params distance_range syn_weight
100 pop_name=='['PyrC']' * 0.1 tone2pyr tone2PN.json "[-10000, 10000]" 1.0
101 pop_name=='PV' * 0.1 tone2Inter tone2INT.json "[-10000, 10000]" 1.0
